"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_fluH",0.76635813651667,1549.45937376812,0.853394415205135,2448.35416666667,0.525,0.933333333333333,120
"CMU-TimeSeries",0.926952719898593,1901.20961248619,1.01227034388239,2928.81235703414,0.52,0.98,100
"CU-ensemble",0.848234348754733,1719.40746524749,0.883356056240737,2539.15368333333,0.45,0.833333333333333,120
"FluSight-baseline",1,2044.62687641629,1,2880.84166666667,0.116666666666667,0.891666666666667,120
"FluSight-ensemble",0.718132504129652,1463.43471718137,0.821086058934627,2363.70001918483,0.391666666666667,0.933333333333333,120
"FluSight-lop_norm",0.699500794566118,1418.75070358595,0.816351383071733,2344.91589258328,0.475,1,120
"GH-model",2.68988382587629,9213.02739359903,2.02238014915633,9414.45833333333,0,0,36
"GT-FluFNP",1.26846298646399,2592.96871636162,1.20522290211635,3432.93675480769,0.259615384615385,0.625,104
"ISU_NiemiLab-ENS",0.934017417453386,2246.01842437169,0.885001893482054,2980.97368055556,0.333333333333333,0.611111111111111,72
"ISU_NiemiLab-NLH",0.915980713374289,1800.36939875098,0.858111239710187,2380.81500158539,0.35,0.65,100
"ISU_NiemiLab-SIR",1.17516498539307,2938.14591945743,1.12298173639403,3951.4697976318,0.265625,0.546875,64
"JHU_CSSE-CSSE_Ensemble",0.847213023356021,925.278530780058,0.895804873693117,1494.67083333333,0.483333333333333,0.966666666666667,60
"LUcompUncertLab-chimera",0.974278990270922,1997.31372464685,0.905965063955755,2629.57449150814,0.172727272727273,0.5,110
"LosAlamos_NAU-CModel_Flu",3.10887729306262,6716.56805671444,2.4547769480916,7428.8889648253,0.0446428571428571,0.232142857142857,112
"MIGHTE-Nsemble",0.672130014489226,1378.2285546983,0.716184271313312,2104.54491137577,0.4,0.883333333333333,120
"MOBS-GLEAM_FLUH",0.716078487009569,1429.84407091667,0.810595327485081,2306.86175833333,0.458333333333333,0.908333333333333,120
"NIH-Flu_ARIMA",1.09385092867781,2257.193963598,0.779681710975657,2239.56058265847,0.53,0.95,100
"NU_UCSD-GLEAM_AI_FLUH",0.91834766687932,2153.62235175346,1.04434444536824,3456.83393406593,0.428571428571429,0.945054945054945,91
"PSI-PROF",0.680665664037494,1377.12238463768,0.752604991167269,2148.27283333333,0.425,0.866666666666667,120
"PSI-PROF_beta",0.781798123275552,1800.76139195652,0.843559804108381,2734.1935,0.5125,0.8125,80
"SGroup-RandomForest",0.940794788241507,1749.99751236882,1.04726682712654,2775.01724137931,0.456896551724138,0.982758620689655,116
"SigSci-CREG",0.915846948842473,1065.25455486542,0.970398116409944,1655.2380952381,0.297619047619048,0.797619047619048,84
"SigSci-TSENS",0.771025762153714,1575.12613405797,0.77906261417941,2276.40833333333,0.591666666666667,0.883333333333333,120
"Stevens-GBR",1.0715763895408,2385.00883231926,1.00722768574134,3171.12844245743,0.221153846153846,0.75,104
"UGA_flucast-Copycat",0.775757915547774,1712.74109531773,0.843843874859172,2629.83653846154,0.403846153846154,0.923076923076923,104
"UGA_flucast-INFLAenza",0.795237045585263,1801.70316022544,0.77845722921824,2577.10185185185,0.333333333333333,0.759259259259259,108
"UGA_flucast-OKeeffe",1.01725998447763,528.460144927536,1.24693018646824,844.25,0.166666666666667,0.75,12
"UGuelph-CompositeCurve",1.51290038312549,3136.4407073942,1.50156447162628,4377.96430610907,0.142857142857143,0.705357142857143,112
"UGuelphensemble-GRYPHON",0.791903281923691,1751.01171331877,0.855584092602383,2668.17746013496,0.299065420560748,0.897196261682243,107
"UM-DeepOutbreak",0.977308516525679,1993.85495048257,0.730067604615418,2121.34804906909,0.725,0.833333333333333,120
"UMass-flusion",0.533064463438612,1069.91819282648,0.5963412953348,1692.01714571337,0.55,0.991666666666667,120
"UMass-trends_ensemble",0.958202186836293,1968.57118115942,0.928287627225105,2692.225,0.308333333333333,0.625,120
"UNC_IDD-InfluPaint",1.12981193671615,2590.15024318805,1.0234049164802,3322.92853536747,0.125,0.427083333333333,96
"UVAFluX-Ensemble",0.968943216460961,2046.19527473971,0.946048474789101,2808.18575814776,0.353448275862069,0.75,116
"VTSanghani-Ensemble",1.23391032736562,2614.51829178163,1.16496415213429,3494.78076121795,0.173076923076923,0.432692307692308,104
"cfa-flumech",1.03364940829756,2405.12720186986,1.05224955764904,3460.46503810906,0.262135922330097,0.689320388349515,103
"cfarenewal-cfaepimlight",0.910088317903045,1852.55620706522,1.01387104062799,2918.38793103448,0.310344827586207,0.870689655172414,116
"fjordhest-ensemble",0.787982781203693,1616.54697373188,0.901461015666187,2626.144,0.4,0.983333333333333,120
