"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_fluH",0,0.82244748682619,2601.31560200669,0.891000019964212,3448.53846153846,0.615384615384615,0.730769230769231,26
"CEPH-Rtrend_fluH",1,0.683588269644801,3633.29297658863,0.707514837744531,4731.65384615385,0.692307692307692,0.807692307692308,26
"CEPH-Rtrend_fluH",2,0.608378105132396,4528.66202341137,0.672177327391689,6173.46153846154,0.615384615384615,0.846153846153846,26
"CEPH-Rtrend_fluH",3,0.59686024954362,5801.99610367893,0.695882203698362,8218.80769230769,0.461538461538462,0.807692307692308,26
"CFA_Pyrenew-Pyrenew_HE_Flu",0,0.343132542552882,173.836651185771,0.443928232200391,257,0.545454545454545,1,11
"CFA_Pyrenew-Pyrenew_HE_Flu",1,0.334178123635082,247.403238339921,0.380324686662084,354.454545454545,0.636363636363636,1,11
"CFA_Pyrenew-Pyrenew_H_Flu",0,1.03229852550692,2312.09545308924,1.17545310929125,3124.89473684211,0.368421052631579,0.842105263157895,19
"CFA_Pyrenew-Pyrenew_H_Flu",1,0.841614492155703,3202.61303375286,0.898614020020201,4429.44736842105,0.578947368421053,0.947368421052632,19
"CMU-TimeSeries",0,1.20294667291891,3779.79156506939,1.24978059562837,4711.7268122934,0.653846153846154,0.807692307692308,26
"CMU-TimeSeries",1,0.930845056766759,5005.1796951327,0.943893786242947,6239.66970526962,0.5,0.807692307692308,26
"CMU-TimeSeries",2,0.825122045826845,6256.78351936024,0.894242869426416,8295.82182930079,0.461538461538462,0.769230769230769,26
"CMU-TimeSeries",3,0.799838087072269,7902.36999462271,0.894763269232815,10725.8146261623,0.5,0.730769230769231,26
"CMU-climate_baseline",0,2.68517783210894,8018.51037696073,3.59670319850244,12949.2067459119,0.28,0.8,25
"CMU-climate_baseline",1,1.57105656647017,7543.56022030558,2.0187734566439,12115.36736893,0.28,0.8,25
"CMU-climate_baseline",2,1.1292003693481,7169.92349131382,1.43343867484079,11468.9086053662,0.28,0.8,25
"CMU-climate_baseline",3,0.905670732898978,7585.91043538323,1.13044715523078,11784.5780021047,0.28,0.8,25
"CU-ensemble",0,0.810502053411764,2614.84429565217,0.95717273283448,3770.04,0.48,0.84,25
"CU-ensemble",1,0.689030935203573,3899.12500869565,0.737933273891657,5243.8,0.6,0.8,25
"CU-ensemble",2,0.684262146217719,5430.78975652174,0.727871225747907,7122.68,0.48,0.76,25
"CU-ensemble",3,0.685584883387051,7069.74888695652,0.730073845641126,9148.88,0.4,0.72,25
"FluSight-baseline",0,1,3126.77652173913,1,3893.46153846154,0.269230769230769,0.807692307692308,26
