"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_fluH","US",0.508134784500114,4221.24958937198,0.671166246223715,7212.22222222222,0.222222222222222,0.888888888888889,24
"CFA_Pyrenew-Pyrenew_HE_Flu","US",0.311811481354279,1687.34957747036,0.341399534986728,2403.22727272727,0.363636363636364,0.727272727272727,12
"CFA_Pyrenew-Pyrenew_H_Flu","US",0.593073054442735,3128.59361264822,0.596962217419037,4163.5,0,0.727272727272727,12
"CMU-TimeSeries","US",0.560762571849326,4965.23443443599,0.740450256297752,8304.15038262432,0.333333333333333,0.888888888888889,28
"CU-ARNB_Net","US",0.666515995025708,7881.22210144928,0.88756794414132,13190,0.166666666666667,0.833333333333333,12
"CU-ensemble","US",0.545508904417556,4509.93144927536,0.677425045776862,7145.38888888889,0.444444444444444,0.833333333333333,24
"Cornell_JHU-hierarchSIR","US",0.522011459488481,4767.02808103865,0.505853804526625,5771.83333333333,0,0.0555555555555556,28
"FluSight-HJudge_ensemble","US",0.472348579977312,4069.72492753623,0.569158016933678,6208.11111111111,0,0.777777777777778,24
"FluSight-baseline","US",1,8342.04429951691,1,10789.6111111111,0,0.555555555555556,28
"FluSight-ensemble","US",0.571555002860335,4920.88425120773,0.638661712552911,7005.61111111111,0,0.611111111111111,24
"FluSight-lop_norm","US",0.514910198360025,4440.20509661836,0.670796137186071,7349.5,0,1,24
"FluSight-trained_mean","US",0.484117732693137,4106.33571665591,0.599060141200718,6494.82114151193,0,0.833333333333333,24
"FluSight-trained_med","US",0.508706190525359,4390.4902758432,0.605900068105673,6647.90095085688,0,0.777777777777778,24
"Gatech-ensemble_stat","US",0.521941803342259,5285.43230359361,0.552915271638105,7096.37424524933,0.222222222222222,0.5,24
"LUcompUncertLab-chimera","US",0.995273727826917,9143.33024844721,0.885515364804524,10299.9285714286,0,0,20
"LosAlamos-DoSiDo","US",0.880350113520936,7358.70118357488,0.938697148763051,10076.2222222222,0,0.888888888888889,28
"LosAlamos-ThinMint","US",0.776798275996595,6937.95466183575,0.850271347574942,9452.94444444445,0,0.5,28
"LosAlamos_NAU-CModel_Flu","US",1.26450952127552,10672.7939993961,1.06844142348914,11520,0,0,24
"MDPredict-SIRS","US",0.450423994071231,3887.22371980676,0.441064932760896,4827.27777777778,0.777777777777778,1,24
"MIGHTE-Joint","US",0.417829362056731,4573.15253612172,0.472423828876444,6718.53764703302,0.333333333333333,1,8
"MIGHTE-Nsemble","US",0.450591517320471,4141.90083656502,0.545249468092291,6257.88241761602,0.222222222222222,0.611111111111111,24
"MOBS-EpyStrain_Flu","US",0.364140822427305,3683.03618012422,0.446197240793518,5756.57142857143,0.142857142857143,0.642857142857143,20
"MOBS-GLEAM_RL_FLUH","US",0.384510669807406,3254.62948999359,0.519130932720098,5610.27841591173,0.333333333333333,1,24
"NAU-FourCAT","US",0.433498667724654,3588.43546583851,0.592804347831572,6204.64285714286,0.214285714285714,1,20
"NAU-epymorph","US",0.604535764968202,5175.07251207729,0.551476750818959,6103.83333333333,0.0555555555555556,0.333333333333333,24
"NAU-vulPES","US",0.418046167427117,3543.93304347826,0.574400384375847,6220.27777777778,0.277777777777778,1,24
"NEU_ISI-AdaptiveEnsemble","US",0.584388495927618,4844.16188405797,0.655161246239177,7026.27777777778,0,0.722222222222222,24
"NEU_ISI-FluBcast","US",0.684520011457383,5983.98466183575,0.706897902849646,7896.27777777778,0,0.444444444444444,24
"NIH-Flu_ARIMA","US",0.734115673247177,6790.4491939441,0.734394210886899,8637.07142857143,0,0.428571428571429,20
"NU-PGF_FLUH","US",0.354158394084822,3726.06357142857,0.421587715465111,5682.5,0.285714285714286,0.785714285714286,20
"OHT_JHU-nbxd","US",0.24298158730714,2040.1573763285,0.244830107994253,2522.48666666667,0.833333333333333,1,28
"PSI-PROF","US",0.504778050351276,4223.55190144927,0.605753004908129,6581.295,0.0555555555555556,0.888888888888889,24
"PSI-PROF_MOA","US",0.653542434081389,5457.94115410628,0.652040520395438,6930.97,0.0555555555555556,0.5,24
"SigSci-TSENS","US",1.14923038374865,12649.2624637681,0.984655910242223,14174.6666666667,0,0,12
"UGA_CEID-Walk","US",1.38682430823308,13604.4541360559,1.16598369066059,14467.9189285714,0,0,20
"UGA_CEID-auto_AVG_LB","US",0.705770413750168,7186.39197310876,0.823863840615475,10548.81783858,0.285714285714286,0.714285714285714,20
"UGA_flucast-Copycat","US",0.457266289377232,3906.06741545894,0.612350779889924,6703.16666666667,0.166666666666667,1,24
"UGA_flucast-INFLAenza","US",0.529876131612206,4409.76467826087,0.61074333988608,6534.97058823529,0,0.764705882352941,20
"UGA_flucast-Scenariocast","US",0.346041999173688,3320.33465838509,0.455296482040876,5501.57142857143,0.5,1,24
"UGuelph-CompositeCurve","US",1.49437708118889,16766.2388819876,1.24577717032552,17393.1428571429,0,0,8
"UGuelphensemble-GRYPHON","US",0.831818933740697,10374.8659004507,0.868863701021817,14019.2367895105,0,0.5,4
"UI_CompEpi-EpiGen","US",0.748653463086988,9075.29030434783,0.695323359061333,10590.7,0,0.3,16
"UM-DeepOutbreak","US",0.469003064969656,4004.27567112484,0.473968534521649,5027.50040212963,0.0555555555555556,0.388888888888889,24
"UMass-AR2","US",0.792272564748707,6642.62541625925,0.784359491336829,8485.30467934273,0,0.5,24
"UMass-flusion","US",0.478293001923227,4206.97719192403,0.488010809701515,5533.9797278547,0,0.444444444444444,24
"UMass-trends_ensemble","US",1.05520330101336,8982.77334541063,0.916640891371807,9897.72222222222,0,0,24
"UNC_IDD-InfluPaint","US",1.0426098706738,8665.60539242426,0.964963660254947,10269.4771407779,0,0,24
"UVAFluX-Ensemble","US",0.535538810214987,5057.90644927536,0.533473491624894,6347.38888888889,0.277777777777778,0.444444444444444,23
"UVAFluX-FS_OptimWISE","US",0.373624168438054,4080.55362318841,0.438373332664286,6261,0.333333333333333,0.666666666666667,8
"VTSanghani-PRIME","US",0.867581527363925,8623.59413043478,0.843371515291319,10538.3571428571,0.142857142857143,0.285714285714286,20
