"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_fluH","US",0.225953016921237,1301.47666666667,0.200565086141976,1560,1,1,12
"CFA_Pyrenew-Pyrenew_HE_Flu","US",0.239943217990984,1349.28686521739,0.282944902019338,2224.66666666667,0,0.666666666666667,6
"CFA_Pyrenew-Pyrenew_H_Flu","US",0.334951644661393,1910.31500434783,0.438828636714991,3496.83333333333,0,1,6
"CMU-TimeSeries","US",0.308991157901251,1875.1663601995,0.189858407914245,1905.4251534479,1,1,12
"CU-ARNB_Net","US",0.440012481734813,2631.80304347826,0.340736419621128,3579.33333333333,1,1,12
"CU-ensemble","US",0.676513149191018,4131.69898550725,0.878578964952531,7351,0.333333333333333,1,12
"Cornell_JHU-hierarchSIR","US",0.813763622613367,4994.26990507246,0.819335806117915,6879.83333333333,0,0.333333333333333,12
"FluSight-HJudge_ensemble","US",0.587456341865427,3496.10942028985,0.788073533294784,6542,0,1,12
"FluSight-baseline","US",1,6028.83057971014,1,8333.66666666667,0,0.666666666666667,12
"FluSight-ensemble","US",0.511274032597608,3109.21797101449,0.753263213203666,6329.66666666667,0.333333333333333,1,12
"FluSight-lop_norm","US",0.518613913387002,3120.93942028986,0.63816726402359,5440,0.333333333333333,1,12
"FluSight-trained_mean","US",0.704467231987646,4430.86888623049,0.766216816685476,7085.7177361067,0.333333333333333,1,12
"FluSight-trained_med","US",0.621733349386033,3811.05421168153,0.804598412821338,6842.3,0.333333333333333,1,12
"Gatech-ensemble_stat","US",0.518381542661541,3113.96059331204,0.616978383815509,5111.65115541207,0,0.666666666666667,12
"LUcompUncertLab-puca","US",1.12976637782507,6562.71014492754,1.42579888044573,11439.3333333333,0.666666666666667,1,12
"LosAlamos-DoSiDo","US",1.46776334864622,8600.04855072464,2.22816503910134,18350.6666666667,1,1,12
"LosAlamos-ThinMint","US",1.83849229641934,11552.7989855072,2.18665377807839,19032.6666666667,0.333333333333333,1,12
"LosAlamos_NAU-CModel_Flu","US",0.128565097283847,746.10164057971,0.0732443478144339,657.833333333333,1,1,12
"MDPredict-SIRS","US",0.202316826710659,1116.02739130435,0.196961483176003,1490,0.666666666666667,1,12
"MIGHTE-Joint","US",1.03572539465615,6329.1487573853,1.12331527030897,9487.48925732751,0,0.666666666666667,12
"MIGHTE-Nsemble","US",1.39967499102173,8551.64474418485,1.61219438927678,13624.8571667385,0,0.666666666666667,12
"MOBS-EpyStrain_Flu","US",0.346670860072314,939.765652173913,0.343922864864759,1048,1,1,8
"MOBS-GLEAM_RL_FLUH","US",0.489404828019472,2954.14488232295,0.566115657008773,4895.08115005493,0.333333333333333,1,12
"NAU-FourCAT","US",0.764149992861781,4598.86608695652,0.899225963279951,7702.66666666667,0.333333333333333,1,12
"NAU-epymorph","US",1.5098857575474,9355.35202898551,1.15249658140489,9866.66666666667,0,0,12
"NAU-vulPES","US",0.599407881742638,3608.33956521739,0.77235153969698,6500.66666666667,0.333333333333333,1,12
"NEU_ISI-AdaptiveEnsemble","US",1.13214970566873,6869.69420289855,0.991240354882373,8316.66666666667,0,0,12
"NEU_ISI-FluBcast","US",0.931664247074597,6218.13072463768,0.856332218795454,7856.66666666667,0.333333333333333,0.333333333333333,12
"NIH-Flu_ARIMA","US",0.415225776171532,2393.36425,0.463259635306129,3714.66666666667,0,1,12
"NU-PGF_FLUH","US",0.193551602465663,1071.49304347826,0.204750763561503,1592,0.333333333333333,0.666666666666667,12
"OHT_JHU-nbxd","US",0.668675582495103,4010.89750289855,0.831323832711586,6898.63,0,1,12
"PSI-PROF","US",1.08799459940155,6592.43888985507,1.4215835459728,11844.14,0,1,12
"PSI-PROF_MOA","US",1.43463070291491,8524.71928405797,1.40312652635798,11526.4566666667,0,0.333333333333333,12
"SigSci-TSENS","US",0.277867366342524,1708.15855072464,0.350355758076724,3044.33333333333,0.333333333333333,1,12
"UGA_CEID-Walk","US",0.801003930036168,4718.98412144928,1.03454719768646,8612.32433333333,0.333333333333333,1,12
"UGA_CEID-auto_AVG_LB","US",0.475149533581341,2853.71726267407,0.497730980739644,4206.84863174584,0.666666666666667,1,12
"UGA_flucast-Copycat","US",0.461020011527425,2851.31985507246,0.56826281272709,5000.33333333333,0.333333333333333,1,12
"UGA_flucast-INFLAenza","US",0.451439081104964,2660.36353695652,0.564113566527817,4597.83333333333,0,1,12
"UGA_flucast-Scenariocast","US",0.764539315510152,4584.35434782609,1.04303758680185,8702.66666666667,0.333333333333333,1,12
"UGuelph-CompositeCurve","US",0.0870902954155853,236.086956521739,0.108296321951689,330,0,1,4
"UI_CompEpi-EpiGen","US",1.51232578245331,8639.06637681159,1.29166490540659,10260.6666666667,0,0,12
"UM-DeepOutbreak","US",0.303059722988039,1779.37052366667,0.328057094048025,2694.44148555555,0.666666666666667,1,12
"UMass-AR2","US",1.64659249565393,10316.6759958402,1.64908499101367,14272.455212161,0,0,11
"UMass-flusion","US",1.1901432725814,3226.27569131294,2.27743813787614,6939.7978800646,0,1,8
"UMass-trends_ensemble","US",0.940687490783211,5625.79666666667,1.09408753849504,9446.16666666667,0.333333333333333,1,12
