"model_id","reference_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_fluH",2026-02-28,0.335530420965873,691.438260869565,0.14611320754717,484,1,1,4
"CEPH-Rtrend_fluH",2026-03-07,0.459771790353179,456.68652173913,0.220899470899471,334,1,1,4
"CFA_Pyrenew-Pyrenew_HE_Flu",2026-02-28,0.51805371497907,1067.56984565217,0.514792452830189,1705.25,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_Flu",2026-03-07,3.10574438646115,3084.90349130435,2.84490740740741,4301.5,0,0,2
"CFA_Pyrenew-Pyrenew_H_Flu",2026-02-28,0.346349324801962,713.733121739131,0.368452830188679,1220.5,1,1,2
"CFA_Pyrenew-Pyrenew_H_Flu",2026-03-07,1.1748448961422,1166.96117608696,1.32738095238095,2007,0,1,2
"CMU-TimeSeries",2026-02-28,0.402027011204464,828.469909373962,0.361103947566194,1196.15682631302,1,1,4
"CMU-TimeSeries",2026-03-07,0.411601598781195,408.839573096157,0.203027838530357,306.9780918579,1,1,4
"CU-ARNB_Net",2026-02-28,0.372451979124767,767.523695652174,0.059622641509434,197.5,1,1,4
"CU-ARNB_Net",2026-03-07,0.572063577939967,568.224782608696,0.314153439153439,475,1,1,4
"CU-ensemble",2026-02-28,0.36414288000454,750.400869565217,0.230943396226415,765,1,1,4
"CU-ensemble",2026-03-07,0.654160571417066,649.770869565217,0.548280423280423,829,1,1,4
"Cornell_JHU-hierarchSIR",2026-02-28,0.728409118984422,1501.05594891304,0.806415094339623,2671.25,0,1,4
"Cornell_JHU-hierarchSIR",2026-03-07,0.428740117378968,425.863084782609,0.197420634920635,298.5,1,1,4
"DMAPRIME-DLM",2026-02-28,0.273895925751161,564.426086956522,0.195169811320755,646.5,1,1,4
"DMAPRIME-DLM",2026-03-07,0.56908927122263,565.270434782609,0.71494708994709,1081,0,1,4
"Epistorm-Ensemble_Flu",2026-02-28,0.215267011154462,443.607609070922,0.0883347669637428,292.608915567398,1,1,4
"Epistorm-Ensemble_Flu",2026-03-07,0.406859414711487,404.129211143375,0.160714285714286,243,1,1,4
"FluSight-HJudge_ensemble",2026-02-28,0.448996541646716,925.26152173913,0.50611320754717,1676.5,0.5,1,4
"FluSight-HJudge_ensemble",2026-03-07,0.409072882989592,406.327826086957,0.000661375661375661,1,1,1,4
"FluSight-baseline",2026-02-28,1,2060.73195652174,1,3312.5,0,1,4
"FluSight-baseline",2026-03-07,1,993.289565217391,1,1512,0,1,4
"FluSight-ensemble",2026-02-28,0.483566149511882,996.500217391304,0.551547169811321,1827,0.5,1,4
"FluSight-ensemble",2026-03-07,0.492323706121863,489.02,0.113095238095238,171,1,1,4
"FluSight-lop_norm",2026-02-28,0.443481827425819,913.897173913043,0.431849056603774,1430.5,1,1,4
"FluSight-lop_norm",2026-03-07,0.539584323674606,535.96347826087,0.201058201058201,304,1,1,4
"FluSight-trained_mean",2026-02-28,0.561751115673091,1157.61847567928,0.602008719355745,1994.15388286591,0.5,1,4
"FluSight-trained_mean",2026-03-07,0.561397967029221,557.630742584382,0.518335573293919,783.723386820406,1,1,4
