"model_id","reference_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",2026-04-25,0.65828638898158,34.6774996301459,1.06134918073065,62.998299403795,0,1,4
"CADPH-FluCAT_Ensemble",2026-05-02,0.933183025153692,21.3702310263154,Inf,38.384758772169,0,1,4
"CEPH-Rtrend_fluH",2026-04-25,0.867580408517146,8.46721571906355,1.41101093967267,14.125,0.423076923076923,0.951923076923077,208
"CEPH-Rtrend_fluH",2026-05-02,0.848156720011899,6.92373745819398,1.23669209195601,10.5576923076923,0.480769230769231,0.884615384615385,208
"CFA_Pyrenew-Pyrenew_HE_Flu",2026-04-25,0.697344895394562,7.72095371669004,0.902015421815207,10.6209677419355,0.548387096774194,0.951612903225806,62
"CFA_Pyrenew-Pyrenew_HE_Flu",2026-05-02,0.769350581756769,6.66332732919255,1.03808209986825,9.05714285714286,0.628571428571429,0.942857142857143,70
"CFA_Pyrenew-Pyrenew_H_Flu",2026-04-25,0.955916007785791,9.15324797527707,1.44456326323734,14.2450980392157,0.352941176470588,0.892156862745098,102
"CFA_Pyrenew-Pyrenew_H_Flu",2026-05-02,1.0007112777086,8.09260396419437,1.2597050126549,10.9019607843137,0.627450980392157,0.941176470588235,102
"CMU-TimeSeries",2026-04-25,0.702998482342161,7.13265473554256,1.13423773556545,11.6932601173157,0.394230769230769,0.942307692307692,208
"CMU-TimeSeries",2026-05-02,0.743560423049283,5.95467957115203,1.05069276954651,8.89817293331811,0.384615384615385,0.923076923076923,208
"CU-ARNB_Net",2026-04-25,0.87622223934809,8.56823578595318,1.4702788825055,14.7596153846154,0.432692307692308,0.971153846153846,208
"CU-ARNB_Net",2026-05-02,0.797192454917035,6.55670568561873,1.10982542838054,9.76923076923077,0.653846153846154,1,208
"CU-ensemble",2026-04-25,0.865576001169271,8.52808946488294,1.42986756278269,14.3365384615385,0.615384615384615,0.971153846153846,208
"CU-ensemble",2026-05-02,0.841612996626405,6.80933110367893,1.22534061606422,10.4615384615385,0.788461538461538,0.942307692307692,208
"Cornell_JHU-hierarchSIR",2026-04-25,0.678850191241371,7.1480643812709,0.97329593226216,11.2980769230769,0.605769230769231,0.980769230769231,208
"Cornell_JHU-hierarchSIR",2026-05-02,0.83801702472853,7.00627926421405,1.15525931507082,10.9807692307692,0.596153846153846,0.961538461538462,208
"DMAPRIME-DLM",2026-04-25,1.30790270126655,9.37695652173913,1.55036270208461,11.5,0,0,4
"DMAPRIME-DLM",2026-05-02,0.991478187296986,3.77347826086957,1.74268089330766,7,0,1,4
"DMAPRIME-QR",2026-04-25,1.52361234602034,10.9234782608696,1.55036270208461,11.5,0,0,4
"DMAPRIME-QR",2026-05-02,0.379044201572923,1.44260869565217,0.746863239988995,3,1,1,4
"Epistorm-Ensemble_Flu",2026-05-02,0.662419999061035,5.41966674407614,0.964272421617521,8.4131032213162,0.653846153846154,0.980769230769231,208
"FluSight-HJudge_ensemble",2026-04-25,0.640804501171344,6.30593227424749,1.03971817889538,10.4615384615385,0.471153846153846,0.980769230769231,208
"FluSight-HJudge_ensemble",2026-05-02,0.658921553265376,5.37103678929766,0.925159735111357,8.03846153846154,0.730769230769231,1,208
"FluSight-baseline",2026-04-25,1,9.99313545150502,1,10.1057692307692,0.740384615384615,1,208
"FluSight-baseline",2026-05-02,1,8.15639632107023,1,9.13461538461539,0.653846153846154,1,208
"FluSight-ensemble",2026-04-25,0.637206025734616,6.30788461538462,1.01779316280846,10.2307692307692,0.653846153846154,0.980769230769231,208
"FluSight-ensemble",2026-05-02,0.671379754944957,5.48791806020067,0.928433587425273,8.07692307692308,0.826923076923077,1,208
"FluSight-lop_norm",2026-04-25,0.660690664900015,6.56263377926421,0.991425968940169,9.97115384615385,0.692307692307692,1,208
"FluSight-lop_norm",2026-05-02,0.69452616861269,5.67840301003344,0.899585033656696,7.90384615384615,0.826923076923077,1,208
"FluSight-trained_mean",2026-04-25,0.716867813132689,7.03674632388588,1.19011183846131,11.9271597838756,0.480769230769231,0.951923076923077,208
"FluSight-trained_mean",2026-05-02,0.717053575417497,5.79107987908603,1.00328162781059,8.53521712037146,0.634615384615385,0.942307692307692,208
"FluSight-trained_med",2026-04-25,0.658718993795433,6.4904406091575,1.074947106992,10.7914143180576,0.576923076923077,0.980769230769231,208
"FluSight-trained_med",2026-05-02,0.679365358460124,5.5142853185249,0.924705754145361,8.01585814272314,0.711538461538462,1,208
"Gatech-ensemble_prob",2026-04-25,0.626220519387226,6.51621304347826,0.838327477458433,8.84,0.81,0.99,200
"Gatech-ensemble_prob",2026-05-02,0.770834324130784,6.51247826086957,0.925213618819314,8.78,0.74,1,200
"Gatech-ensemble_stat",2026-04-25,0.780210768923391,7.73210664000029,1.08291196080487,10.7353501953999,0.769230769230769,0.980769230769231,208
"Gatech-ensemble_stat",2026-05-02,0.806880301502253,6.61702090557954,0.90581901004009,8.32804993250342,0.769230769230769,1,208
"Google_SAI-FluEns",2026-04-25,0.647557123515073,6.46944361622074,1.04324919307836,10.5682692307692,0.567307692307692,0.971153846153846,208
"Google_SAI-FluEns",2026-05-02,0.727996942318633,6.00529089464883,0.961615908699586,8.475,0.653846153846154,1,208
"LUcompUncertLab-puca",2026-04-25,0.788210372384356,7.86459866220736,1.06106579376743,10.6057692307692,0.836538461538462,0.980769230769231,208
"LUcompUncertLab-puca",2026-05-02,1.02823916737343,8.06653010033445,1.3462822105704,11.0576923076923,0.865384615384615,0.980769230769231,208
