"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",0.533749618853804,18.0435066000814,0.855924236138141,28.183201330582,0.666666666666667,1,12
"CEPH-Rtrend_fluH",0.534943250820531,5.99892140468227,0.710550729114187,9.03846153846154,0.615384615384615,0.923076923076923,624
"CFA_Pyrenew-Pyrenew_HE_Flu",0.645920800571958,6.5303484028394,0.898544562874767,10.0272108843537,0.394557823129252,0.891156462585034,294
"CFA_Pyrenew-Pyrenew_H_Flu",0.555002739368367,5.55993049393671,0.790929652682836,8.73469387755102,0.619047619047619,1,294
"CMU-TimeSeries",0.5810611599755,6.5786369805486,0.739142560701537,9.4842772567241,0.628205128205128,0.967948717948718,624
"CMU-climate_baseline",1.24463946650511,13.704535860275,1.74792601686323,21.3974358974359,0.673076923076923,1,624
"CU-ensemble",0.730048927068002,6.53392976588629,0.785577275760305,8.01923076923077,0.923076923076923,1,416
"FluSight-baseline",1,10.9338991081382,1,12.2051282051282,0.756410256410256,1,624
"FluSight-ensemble",0.526471627037396,5.9203734671126,0.667120056729009,8.42948717948718,0.75,0.993589743589744,624
"FluSight-lop_norm",0.592124393777132,6.61528706800446,0.676769948413022,8.55128205128205,0.83974358974359,1,624
"FluSight-trained_mean",0.583912883465105,6.56453690435491,0.701938546899112,8.98087969871976,0.628205128205128,0.955128205128205,624
"FluSight-trained_med",0.633688316009826,7.1326902307958,0.710146807468759,9.10745472439713,0.788461538461538,0.980769230769231,624
"Gatech-ensemble_point",1.33369519707653,14.5586231884058,1.95446343918871,23.7884615384615,0.41025641025641,0.987179487179487,624
"Gatech-ensemble_prob",0.659568518217513,7.25470457079153,0.901757273770789,11.0641025641026,0.653846153846154,0.980769230769231,624
"Google_SAI-FluBoostQR",0.537103018163267,6.12593074799597,0.740327355264352,9.33165445665446,0.506410256410256,0.948717948717949,624
"ISU_NiemiLab-GPE",0.806440629039694,9.08924468465591,0.770405274513265,9.75485366035687,0.737179487179487,0.967948717948718,416
"JHUAPL-DMD",1.63718751376559,18.7616785707632,1.20034525071759,15.6709061376635,0.961538461538462,1,208
"JHU_CSSE-CSSE_Ensemble",0.739979864340545,7.27430961938761,0.911085243171203,9.81045751633987,0.764705882352941,1,204
"LUcompUncertLab-chimera",0.869798213213009,8.60791594202898,1.22628615709946,13.46,0.406666666666667,0.886666666666667,250
"LosAlamos_NAU-CModel_Flu",1.02839987884916,12.1133738921405,1.42455732187934,18.5769230769231,0.384615384615385,0.865384615384615,208
"MIGHTE-Joint",0.797207190617332,7.28359531772575,0.784390601186791,8.25,0.653846153846154,0.980769230769231,416
"MIGHTE-Nsemble",0.759141016725485,6.90566053511706,0.854134821802806,8.84615384615385,0.615384615384615,0.961538461538462,416
"MOBS-GLEAM_FLUH",0.673089690943722,6.2660244758785,1.02007848233022,10.4874931506849,0.349315068493151,0.876712328767123,592
"NEU_ISI-AdaptiveEnsemble",0.78247362221436,7.91954492753623,1.15643968523431,13.18,0.32,0.833333333333333,544
"NEU_ISI-FluBcast",0.61087339293653,5.74537660747091,0.894224961536712,9.24647887323944,0.415492957746479,0.873239436619718,584
"NIH-Flu_ARIMA",0.650837161556369,7.55159977703456,0.800455872344655,10.224358974359,0.307692307692308,0.621794871794872,624
"OHT_JHU-nbxd",0.611162440457926,6.7856519509476,0.66632181388108,8.60628205128205,0.66025641025641,0.948717948717949,624
"PSI-PROF",0.712307631966999,7.93093113154961,0.761123347474458,9.74153846153846,0.730769230769231,0.980769230769231,624
"PSI-PROF_beta",0.7279984244834,8.07240680044593,0.859160027095605,10.6004487179487,0.717948717948718,0.974358974358974,624
"SigSci-TSENS",0.990345239403495,9.93906286721504,0.959973022176321,10.6418918918919,0.952702702702703,1,596
"UGA_CEID-Walk",0.811136844236108,8.9201178567447,1.06679102210146,13.0136217948718,0.737179487179487,0.993589743589744,624
"UGA_flucast-Copycat",0.576818929246444,6.44338907469342,0.809968944344313,10.025641025641,0.519230769230769,0.92948717948718,624
"UGA_flucast-INFLAenza",0.50424840487211,5.63026170568562,0.696183585509914,8.75,0.602564102564103,0.987179487179487,624
"UGA_flucast-Scenariocast",0.682295184957937,7.70921404682274,0.83511279324607,10.6794871794872,0.685897435897436,0.974358974358974,624
"UGuelph-CompositeCurve",0.682037516405381,7.65348104793757,0.781645297583542,9.67948717948718,0.192307692307692,0.391025641025641,416
"UI_CompEpi-EpiGen",1.3299149211531,13.1118726911054,1.20063175807592,13.2875816993464,0.993464052287582,1,612
"UM-DeepOutbreak",1.89228277521991,17.1626716284116,2.57899786894408,26.9194324566768,0.884615384615385,1,416
"UMass-AR2",0.687413512385094,7.56130498156981,0.935104913194181,11.3983223079482,0.602564102564103,0.993589743589744,624
"UMass-flusion",0.531427771772596,6.02045910036439,0.721200477094526,9.04972495186921,0.532051282051282,0.980769230769231,624
