"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",0,0.528073883901413,76.9367896111627,0.75843061406845,140.6948252813,0.25,1,5
"CADPH-FluCAT_Ensemble",1,0.630542505761754,161.412051656026,0.840694387204972,286.712401657762,0,1,5
"CADPH-FluCAT_Ensemble",2,0.707139736858907,294.084701733292,0.839627816543303,477.208099734413,0,1,5
"CADPH-FluCAT_Ensemble",3,0.695771012167964,379.289750949575,0.830410126202134,636.714069779191,0,1,5
"CEPH-Rtrend_fluH",0,0.639004622398847,80.331879180602,0.70534092445563,110.697115384615,0.206730769230769,0.572115384615385,208
"CEPH-Rtrend_fluH",1,0.532223544997155,119.855830546265,0.637401075445245,179.480769230769,0.269230769230769,0.698717948717949,208
"CEPH-Rtrend_fluH",2,0.560129824215125,181.191107859532,0.69058262387615,279.923076923077,0.240384615384615,0.730769230769231,208
"CEPH-Rtrend_fluH",3,0.579383748624829,261.958185618729,0.740873553268424,411.923076923077,0.134615384615385,0.634615384615385,208
"CFA_Pyrenew-Pyrenew_HE_Flu",0,0.269653834944937,32.5099364512338,0.322917763077844,48.9540540540541,0.427027027027027,0.902702702702703,185
"CFA_Pyrenew-Pyrenew_HE_Flu",1,0.326836460056311,70.968297515528,0.389061673650002,106.592857142857,0.278571428571429,0.814285714285714,185
"CFA_Pyrenew-Pyrenew_H_Flu",0,0.472291930269537,57.5612423240699,0.553222462876804,84.7912371134021,0.329896907216495,0.804123711340206,194
"CFA_Pyrenew-Pyrenew_H_Flu",1,0.569235589337359,129.476617303173,0.672005356642439,192.158783783784,0.243243243243243,0.777027027027027,194
"CMU-TimeSeries",0,0.422452076191444,52.6296587331592,0.530408426792881,83.4789596521612,0.442307692307692,0.903846153846154,260
"CMU-TimeSeries",1,0.576785460946048,129.563472602668,0.731853158682593,205.567240446184,0.269230769230769,0.833333333333333,260
"CMU-TimeSeries",2,0.698337283064113,226.287621166329,0.852339535797566,346.515396165953,0.163461538461538,0.75,260
"CMU-TimeSeries",3,0.61126120362292,278.368468766957,0.803316449633259,449.676679249394,0.115384615384615,0.826923076923077,260
"CU-ARNB_Net",0,0.588625247464937,88.2685925306578,0.779921321307673,146.474358974359,0.365384615384615,0.891025641025641,156
"CU-ARNB_Net",1,0.702140526023876,203.798795986622,0.908694505631066,328.875,0.0961538461538462,0.798076923076923,156
"CU-ARNB_Net",2,0.770423300619425,325.090484949833,0.875768849815626,461.134615384615,0.0769230769230769,0.442307692307692,156
"CU-ensemble",0,0.625618898004619,78.1390133779264,0.788651581571113,123.548076923077,0.360576923076923,0.855769230769231,208
"CU-ensemble",1,0.704438592250727,157.830638238573,0.799362171234655,224.25641025641,0.211538461538462,0.641025641025641,208
"CU-ensemble",2,0.710434402593647,231.499928929766,0.77802592526753,318.326923076923,0.134615384615385,0.490384615384615,208
"CU-ensemble",3,0.729528603118133,335.636680602007,0.775856513085184,438.038461538462,0.0576923076923077,0.288461538461538,208
"Cornell_JHU-hierarchSIR",0,0.436332707074958,53.8664792155902,0.542545592412569,84.237952822999,0.254807692307692,0.831730769230769,260
"Cornell_JHU-hierarchSIR",1,0.452719350917864,99.9447374390979,0.535563472839718,149.006563391295,0.153846153846154,0.66025641025641,260
"Cornell_JHU-hierarchSIR",2,0.514178545941191,164.109163837793,0.58342656166074,235.697115384615,0.0961538461538462,0.490384615384615,260
