"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_Flu","US",0.547653394602792,0.00425010647778282,0.555603603498243,0.00575752453054852,0.422222222222222,0.844444444444444,48
"CFA_Pyrenew-Pyrenew_HE_Flu","US",0.588693029392032,0.00452609645976047,0.624839101888925,0.00642067172852379,0.4,0.8,48
"CMU-TimeSeries","US",0.721411957100127,0.00814153886001607,0.823796418473856,0.0128407219143324,0.473684210526316,0.907894736842105,84
"CU-ensemble","US",0.684182542297412,0.00679793581780538,0.735798530203738,0.00965714285714286,0.69047619047619,0.904761904761905,52
"FluSight-baseline","US",1,0.010479928041226,1,0.0140558139534884,0.162790697674419,0.790697674418605,96
"FluSight-ensemble","US",0.663110831757571,0.00689279323789056,0.722463037994387,0.0103332983969191,0.593023255813954,0.86046511627907,96
"FluSight-trained_mean","US",0.774917459507382,0.0054311776841819,0.817122604941276,0.00844188256195527,0,0.5,4
"FluSight-trained_med","US",0.774917459507382,0.0054311776841819,0.817122604941276,0.00844188256195527,0,0.5,4
"LosAlamos-DoSiDo","US",1.13049464887399,0.0119938780939335,1.27971409925053,0.0187441320072178,0.430232558139535,0.86046511627907,96
"LosAlamos-ThinMint","US",0.818858366352862,0.00798055066519754,0.826382854616934,0.0112762694110151,0.662790697674419,0.86046511627907,96
"MOBS-EpyStrain_Flu","US",1.34711700220662,0.00945807624518711,1.48508899516649,0.0139920686944773,0.0555555555555556,0.592592592592593,63
"NAU-vulPES","US",0.697855530190421,0.00746241445583381,0.707385134394206,0.0102461234121795,0.441860465116279,0.755813953488372,96
"NEU_ISI-FluBcast","US",0.890267323669565,0.00581379964400046,1.07718585834832,0.00987147162701485,0.612903225806452,0.983870967741935,72
"UGA_flucast-Copycat","US",0.835617714888738,0.0091509488182686,0.821428098882618,0.0122081704880463,0.439024390243902,0.75609756097561,92
"UGA_flucast-INFLAenza","US",0.642264179122998,0.00565305562588169,0.65611377413183,0.00782589722830139,0.5,0.833333333333333,88
"UGuelph-CompositeCurve","US",2.19105489533639,0.0432,1.63823373742387,0.0432,0,0,12
