"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_Flu",0.169811299724026,0.000136216050968523,0.0866451948648525,5.7763463243235e-05,1,1,6
"CFA_Pyrenew-Pyrenew_HE_Flu",0.167460104229439,0.000134330012961346,0.129701032222855,8.64673548152364e-05,1,1,6
"CMU-TimeSeries",0.192602952403077,0.000154498632445916,0.087962948947268,5.86419659648453e-05,1,1,12
"CU-ensemble",0.549258870104546,0.000440594202898551,0.75,5e-04,1,1,12
"FluSight-baseline",1,0.000802161288382449,1,0.000666666666666667,1,1,12
"FluSight-ensemble",0.377161032553638,0.000302543979800881,0.356562562567497,0.000237708375044998,1,1,12
"LosAlamos-DoSiDo",0.375783109751797,0.000301438663470865,0.356562562567497,0.000237708375044998,1,1,12
"LosAlamos-ThinMint",0.686184618782737,0.00055043073787098,1.07678714009707,0.000717858093398046,1,1,12
"MOBS-EpyStrain_Flu",2.42298302916748,0.0019436231884058,4.35,0.0029,0,0.666666666666667,11
"NAU-vulPES",0.368905117819158,0.000295921404600695,0.106430072602635,7.09533817350898e-05,1,1,12
"NEU_ISI-FluBcast",0.590437623640712,0.000473626204889105,1.0434436210187,0.000695629080679133,1,1,12
"UGA_flucast-Copycat",0.58245699590793,0.000467224454264876,0.588549306799725,0.00039236620453315,1,1,12
"UGA_flucast-INFLAenza",0.305899967879901,0.000245381112350691,0.637861437928128,0.000425240958618752,0.666666666666667,1,12
