"model_id","target_end_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_Flu",2026-04-18,0.0846832386022039,0.000110242793912113,0.000249262531102669,4.98525062205338e-07,1,1,1
"CFA_Pyrenew-Pyrenew_E_Flu",2026-04-25,0.163100603195839,0.000244402392163887,0.0782153378182839,0.000164881115244698,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_Flu",2026-05-02,0.16641092113711,0.000191828368315971,0.207633594168732,0.00028867497277992,1,1,2
"CFA_Pyrenew-Pyrenew_E_Flu",2026-05-09,0.163941848362906,0.00016381884976603,0.041514708021926,3.55659821345022e-05,1,1,2
"CFA_Pyrenew-Pyrenew_HE_Flu",2026-04-18,0.088929920542902,0.000115771232475946,0.0130380700727262,2.60761401454524e-05,1,1,1
"CFA_Pyrenew-Pyrenew_HE_Flu",2026-04-25,0.167008947587812,0.000251121950217341,0.0923952549317939,0.000197346373814473,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_Flu",2026-05-02,0.167949637297561,0.000193602106531851,0.197275412306619,0.000274273893421514,1,1,2
"CFA_Pyrenew-Pyrenew_HE_Flu",2026-05-09,0.160404244851394,0.000160283900367989,0.0898254206214157,7.69541557020736e-05,1,1,2
"CMU-TimeSeries",2026-04-25,0.240378738535546,0.000245014635464834,0.243289156161318,0.000369157706147527,1,1,1
"CMU-TimeSeries",2026-05-02,0.222228209086942,0.00025617113619487,0.236915681314418,0.000329386138733398,0.5,1,2
"CMU-TimeSeries",2026-05-09,0.165609026176444,0.000207982603416585,0.118806341684543,0.000187181139560541,1,1,3
"CU-ensemble",2026-04-18,0.398336984004234,0.000518565217391304,0.0499999999999997,9.99999999999994e-05,1,1,1
"CU-ensemble",2026-04-25,0.379440531586873,0.000554282608695652,0.12601612960879,3e-04,1,1,2
"CU-ensemble",2026-05-02,0.362841058923437,0.000538072463768116,0.144270958845543,3e-04,1,1,3
"CU-ensemble",2026-05-09,0.356254153500698,0.000529641304347826,0.23713709620606,0.000375,1,1,4
"FluSight-baseline",2026-04-18,1,0.00130182543478261,1,0.002,0,1,1
"FluSight-baseline",2026-04-25,1,0.001496537583028,1,0.0023,0.5,1,2
"FluSight-baseline",2026-05-02,1,0.00157210305402764,1,0.00226666666666667,1,1,3
"FluSight-baseline",2026-05-09,1,0.00162244687493505,1,0.0021,1,1,4
"FluSight-ensemble",2026-04-18,0.410165091848438,0.000533963349028241,0.0936735745699375,0.000187347149139875,1,1,1
"FluSight-ensemble",2026-04-25,0.341772540376091,0.000506175105684413,0.178257667324404,0.00043681262004099,1,1,2
"FluSight-ensemble",2026-05-02,0.320612689320314,0.000495663184842576,0.173205057070424,0.000466785907339678,1,1,3
"FluSight-ensemble",2026-05-09,0.294812834904715,0.000458207615001294,0.237505003176139,0.000465069461201115,1,1,4
"LosAlamos-DoSiDo",2026-04-18,0.582565284992118,0.000758398305424118,0.664473252481742,0.00132894650496348,1,1,1
"LosAlamos-DoSiDo",2026-04-25,0.478247351522681,0.000714791083274794,0.468743156674935,0.00109067453442621,1,1,2
"LosAlamos-DoSiDo",2026-05-02,0.416837042985113,0.000671218547063464,0.405831437010315,0.000991925878900585,1,1,3
"LosAlamos-DoSiDo",2026-05-09,0.363260370251344,0.000596450247629911,0.341970158261785,0.000708194271927728,1,1,4
"LosAlamos-ThinMint",2026-04-18,0.597876972999908,0.000778331450322115,0.137347149139875,0.000274694298279751,1,1,1
"LosAlamos-ThinMint",2026-04-25,0.545067968246818,0.000796305464552057,0.450365279935651,0.000989817889801806,1,1,2
"LosAlamos-ThinMint",2026-05-02,0.512818505838716,0.000767848091225568,0.401140208970146,0.000838289349461764,1,1,3
"LosAlamos-ThinMint",2026-05-09,0.484954031619995,0.000743496425694272,0.4477262231982,0.000791359317670452,1,1,4
"MOBS-EpyStrain_Flu",2026-04-18,2.03894297589155,0.00265434782608696,2.35,0.0047,0,1,1
"MOBS-EpyStrain_Flu",2026-04-25,1.4403030840923,0.00207782608695652,1.50841366093283,0.0033,0,1,2
"MOBS-EpyStrain_Flu",2026-05-02,1.34979741317253,0.00194521739130435,1.2539212644951,0.0025,0,1,3
"MOBS-EpyStrain_Flu",2026-05-09,1.28382761393478,0.00184173913043478,1.81733363874929,0.0031,0,0.5,4
"NAU-vulPES",2026-04-18,0.724291479452226,0.000942901070147232,0.884286559767252,0.0017685731195345,0,1,1
"NAU-vulPES",2026-04-25,0.650520002762897,0.00097789542390877,0.783504581957051,0.00178769942314047,0,1,2
"NAU-vulPES",2026-05-02,0.546965608097805,0.000888046743883321,0.645151184858848,0.00149152322490567,0.333333333333333,1,3
"NAU-vulPES",2026-05-09,0.437925344052683,0.000750898051073904,0.377630084193731,0.00111319670909876,0.75,1,4
"NEU_ISI-FluBcast",2026-04-18,0.460847704828588,0.000599943263707043,0.0747830480712502,0.0001495660961425,1,1,1
"NEU_ISI-FluBcast",2026-04-25,0.355692295185532,0.000512275830701922,0.0723859741602671,0.00015678622625925,1,1,2
"NEU_ISI-FluBcast",2026-05-02,0.319744787445483,0.000460299076806741,0.233809551093118,0.000458162011178533,1,1,3
"NEU_ISI-FluBcast",2026-05-09,0.334553001107484,0.000483671544131028,0.465811786935333,0.000796014783708,1,1,4
"UGA_flucast-Copycat",2026-04-18,0.830632724036312,0.00108133880711323,1.03709507847468,0.00207419015694936,0,1,1
"UGA_flucast-Copycat",2026-04-25,0.808969850003326,0.00121984688366825,0.976067624846202,0.00224181283315186,0.5,1,2
"UGA_flucast-Copycat",2026-05-02,0.750015682472595,0.00121680180537036,0.902441472461539,0.00208385703977382,0.666666666666667,1,3
"UGA_flucast-Copycat",2026-05-09,0.662150203139733,0.00112048598678186,0.817344446198947,0.00181941163405858,0.75,1,4
"UGA_flucast-INFLAenza",2026-04-18,0.642802803422037,0.000836817039044372,0.731478041059832,0.00146295608211966,0,1,1
"UGA_flucast-INFLAenza",2026-04-25,0.514119971608479,0.000766380509042402,0.590327920825985,0.00133358601312908,0,1,2
"UGA_flucast-INFLAenza",2026-05-02,0.395973282184724,0.000623593548675817,0.511057529132915,0.0011052982335112,0,1,3
"UGA_flucast-INFLAenza",2026-05-09,0.265580855094904,0.00043831860411533,0.386072864113405,0.000759175466294973,0.5,1,4
