"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_Flu",0,0.685772590960298,0.0016802900667676,0.748191817823193,0.00267470189884661,0.427083333333333,0.9375,245
"CFA_Pyrenew-Pyrenew_E_Flu",1,0.867849060321477,0.00390191096279311,0.855740199296115,0.00604157987213647,0.520833333333333,0.958333333333333,245
"CFA_Pyrenew-Pyrenew_HE_Flu",0,0.737762933686028,0.00183220578866335,0.791836110854843,0.00287407636760183,0.442528735632184,0.896551724137931,217
"CFA_Pyrenew-Pyrenew_HE_Flu",1,1.06356842422627,0.00483155626504908,1.04395275343394,0.0074460436462498,0.478260869565217,0.91304347826087,217
"CMU-TimeSeries",0,0.730508715885729,0.00176146485033209,0.794428879539417,0.00280616825579815,0.46,0.955,250
"CMU-TimeSeries",1,0.573178052165196,0.00254061265998153,0.546880029700793,0.00380760051518531,0.54,0.96,250
"CMU-TimeSeries",2,0.523497501616635,0.0032507767922161,0.463863805241758,0.00466747450013308,0.54,0.94,250
"CMU-TimeSeries",3,0.426862240893855,0.00304508138679524,0.358232094323134,0.00425560054292308,0.68,1,250
"CU-ensemble",0,0.972219973850675,0.00233746630434783,0.937269873609218,0.003312,0.695,0.955,250
"CU-ensemble",1,0.710460963479993,0.00314135449275362,0.635766128595913,0.00444,0.68,0.946666666666667,250
"CU-ensemble",2,0.598507445125059,0.00371260217391304,0.529595340966641,0.005375,0.66,0.95,250
"CU-ensemble",3,0.579225552752985,0.00411737913043478,0.493570728099058,0.005888,0.62,0.88,250
"FluSight-baseline",0,1,0.00239879068606993,1,0.0035135,0.215,1,250
"FluSight-baseline",1,1,0.00442899601832426,1,0.00697933333333333,0.3,1,250
"FluSight-baseline",2,1,0.00626011488535877,1,0.010222,0.29,1,250
"FluSight-baseline",3,1,0.00722565354189155,1,0.01209,0.34,1,250
"FluSight-ensemble",0,0.719665533572011,0.00173708481673721,0.756698724016283,0.00267715563169908,0.65,0.985,255
